DISCIPLINA,TPI,RECOMENDAÇÃO,CURSO
Teoria Axiomática de Conjuntos,4-0-4,Bases Matemáticas; Funções de Uma Variável; Bases Epistemológicas da Ciência Moderna; Matemática Discreta; Lógica Básica,BM - Bacharelado em Matemática (OL)
Teoria Básica de Categorias,4-0-4,Bases Matemáticas; Funções de Uma Variável; Grupos; Teoria de Conjuntos,BM - Bacharelado em Matemática (OL)
Teoria Básica de Modelos,4-0-4,Bases Matemáticas; Funções de Uma Variável; Grupos; Lógica Básica; Teoria Axiomática de Conjuntos; Teoria de Conjuntos,BM - Bacharelado em Matemática (OL)
Teoria Clássica dos Campos,4-0-4,Mecânica Clássica II; Eletromagnetismo II; Teoria da Relatividade,BFIS - Bacharelado em Física (OL)
Teoria Crítica,4-0-4 ,Não há ,BFIL - Bacharelado em Filosofia (OL);LFIL - Licenciatura em Filosofia (OL)
Teoria da Elasticidade,4-0-5,Mecânica dos Sólidos I,EAER - Engenharia Aeroespacial (OL)
Teoria da História I,4-0-4,Não há,LCH - Licenciatura em Ciências e Humanidades (OBR)
Teoria da Informação e Códigos,4-0-4,Comunicação Digital,EINF - Engenharia de Informação (OBR);BC&T - Bacharelado em Ciência e Tecnologia (OL)
Teoria da Medida e Integração,4-0-4,Análise Real II,BM - Bacharelado em Matemática (OBR)
Teoria da Recursão e Computabilidade,4-0-4,Bases Matemáticas; Funções de Uma Variável; Bases Epistemológicas da Ciência Moderna; Matemática Discreta; Lógica Básica,BM - Bacharelado em Matemática (OL);BCC - Bacharelado em Ciências da Computação (OL)
Teoria da Relatividade,4-0-4,Eletromagnetismo I; Eletromagnetismo II; Mecânica Quântica I; Cálculo Vetorial e Tensorial,BFIS - Bacharelado em Física (OBR);LFIS - Licenciatura em Física (OL);BM - Bacharelado em Matemática (OL);BC&T - Bacharelado em Ciência e Tecnologia (OL)
Teoria das Ciências Humanas,4-0-4 ,Não há ,BFIL - Bacharelado em Filosofia (OBR);LFIL - Licenciatura em Filosofia (OL);BCE - Bacharelado em Ciências Econômicas (OL);BC&H - Bacharelado em Ciências e Humanidades (OL)
Teoria das Distribuições,4-0-4,Cálculo Vetorial e Tensorial,BM - Bacharelado em Matemática (OL)
Teoria das Filas,4-0-4,Introdução à Modelagem e Processos Estocásticos,BM - Bacharelado em Matemática (OL);BC&T - Bacharelado em Ciência e Tecnologia (OL);BC&H - Bacharelado em Ciências e Humanidades (OL)
Teoria de Acionamentos Elétricos,4-0-4,Máquinas Elétricas,EIAR - Engenharia de Instrumentação Automação e Robótica (OBR)
Teoria de Conjuntos,4-0-4,Bases Matemáticas; Funções de Uma Variável; Bases Epistemológicas da Ciência Moderna; Matemática Discreta; Lógica Básica,BM - Bacharelado em Matemática (OL)
Teoria de Controle Ótimo,3-0-4,Modelagem e Controle,EAER - Engenharia Aeroespacial (OL);EIAR - Engenharia de Instrumentação Automação e Robótica (OL)
Teoria de Filas e Análise de Desempenho,3-1-4,Sinais Aleatórios; Redes de Computadores,EGES - Engenharia de Gestão (OL);EINF - Engenharia de Informação (OBR);BC&T - Bacharelado em Ciência e Tecnologia (OL)
Teoria de Grupos em Física,4-0-4,Mecânica Quântica I; Cálculo Vetorial e Tensorial,BFIS - Bacharelado em Física (OL);BM - Bacharelado em Matemática (OL)
Teoria de Grupos: Moléculas e Sólidos,2-0-2,Estrutura da Matéria,BQ - Bacharelado em Química (OL);LQ - Licenciatura em Química (OL)
Teoria do Conhecimento Científico,4-0-4,Não há,LFIS - Licenciatura em Física (OL);LM - Licenciatura em Matemática (OL);LQ - Licenciatura em Química (OL);BC&T - Bacharelado em Ciência e Tecnologia (OL);BC&H - Bacharelado em Ciências e Humanidades (OL);LCH - Licenciatura em Ciências e Humanidades (OL);LCNE - Licenciatura em Ciências Naturais e Exatas (OL)
Teoria do Conhecimento: Empirismo e Racionalismo,4-0-4,Não há,BFIL - Bacharelado em Filosofia (OBR);LFIL - Licenciatura em Filosofia (OBR);BC&H - Bacharelado em Ciências e Humanidades (OL);LCH - Licenciatura em Ciências e Humanidades (OL)
Teoria do Planejamento Urbano e Ambiental,3-0-4,Não há,EAU - Engenharia Ambiental e Urbana (OBR);BPP - Bacharelado em Políticas Públicas (OL);BC&T - Bacharelado em Ciência e Tecnologia (OL);BC&H - Bacharelado em Ciências e Humanidades (OL)
Teoria dos Grafos,3-1-4,Matemática Discreta; Processamento da Informação; Algoritmos e Estruturas de Dados I,BM - Bacharelado em Matemática (OL);LM - Licenciatura em Matemática (OL);BC&T - Bacharelado em Ciência e Tecnologia (OL);BCC - Bacharelado em Ciências da Computação (OBR)
Teoria dos Jogos,4-0-4,Bases Matemáticas; Funções de Uma Variável; Funções de Várias Variáveis; Álgebra Linear,BM - Bacharelado em Matemática (OL);BCE - Bacharelado em Ciências Econômicas (OL);BC&T - Bacharelado em Ciência e Tecnologia (OL);BC&H - Bacharelado em Ciências e Humanidades (OL)
Teoria e Gestão de Organizações Públicas,4-0-4,Não há,BPP - Bacharelado em Políticas Públicas (OBR);BC&H - Bacharelado em Ciências e Humanidades (OL)
Teoria e Prática da Cooperação Internacional e da Ajuda Humanitária,4-0-4,Não há,BRI - Bacharelado em Relações Internacionais (OL)
Teoria Eletromagnética,4-2-6,Fenômenos Eletromagnéticos; Funções de Várias Variáveis; Introdução às Equações Diferenciais Ordinárias,LFIS - Licenciatura em Física (OBR);BC&T - Bacharelado em Ciência e Tecnologia (OL)
Teoria Espectral de Grafos,4-0-4,Álgebra Linear; Teoria dos Grafos,BM - Bacharelado em Matemática (OL);BCC - Bacharelado em Ciências da Computação (OL)
Teorias da Verdade,4-0-4,Lógica básica,BFIL - Bacharelado em Filosofia (OL);LFIL - Licenciatura em Filosofia (OL);BC&H - Bacharelado em Ciências e Humanidades (OL)
Teorias das Vanguardas Artísticas,4-0-4 ,Não há ,BFIL - Bacharelado em Filosofia (OL)
Termo Hidráulica de Reatores Nucleares,4-0-6,Engenharia Nuclear; Transferência de Calor I; Mecânica dos Fluidos I; Termodinâmica Aplicada II,EENE - Engenharia de Energia (OL)
Termodinâmica Aplicada I,4-0-5,Fenômenos Térmicos,EAER - Engenharia Aeroespacial (OBR);EAU - Engenharia Ambiental e Urbana (OL);EBIO - Engenharia Biomédica (OL);EENE - Engenharia de Energia (OBR);EGES - Engenharia de Gestão (OL);EIAR - Engenharia de Instrumentação Automação e Robótica (OBR);EINF - Engenharia de Informação (OL);EMAT - Engenharia de Materiais (OL);BC&T - Bacharelado em Ciência e Tecnologia (OL)
Termodinâmica Aplicada II,4-0-5,Termodinâmica Aplicada I,EENE - Engenharia de Energia (OBR)
Termodinâmica de Materiais,4-0-6,Funções de Uma Variável; Funções de Várias Variáveis,EMAT - Engenharia de Materiais (OBR);BC&T - Bacharelado em Ciência e Tecnologia (OL)
Termodinâmica Estatística de Materiais,4-0-4,Fenômenos Térmicos; Termodinâmica de Materiais,EMAT - Engenharia de Materiais (OBR)
Termodinâmica Química,4-0-6,Transformações Químicas; Princípios de Termodinâmica,BQ - Bacharelado em Química (OBR);LQ - Licenciatura em Química (OL);BC&T - Bacharelado em Ciência e Tecnologia (OL)
Território e Logística,4-0-4,Não há,BPT - Bacharelado em Planejamento Territorial (OL)
Território e Sociedade,4-0-4,Não há,BC&H - Bacharelado em Ciências e Humanidades (OBR);BC&T - Bacharelado em Ciência e Tecnologia (OL);LCH - Licenciatura em Ciências e Humanidades (OBR);EAU - Engenharia Ambiental e Urbana (OL)
Tomada de Decisões e Neuroeconomia,4-0-4,Psicologia Cognitiva,BN - Bacharelado em Neurociência (OL);BCE - Bacharelado em Ciências Econômicas (OL);BC&T - Bacharelado em Ciência e Tecnologia (OL);BC&H - Bacharelado em Ciências e Humanidades (OL)
Tópicos Avançados de Ciências e Humanidades,4-0-4,Introdução às Humanidades e às Ciências Sociais; Práticas em Ciências e Humanidades,BC&H - Bacharelado em Ciências e Humanidades (OL)
Tópicos Avançados em Desenvolvimento Socioeconômico,4-0-4,Desenvolvimento Socioeconômico,BCE - Bacharelado em Ciências Econômicas (OL)
Tópicos Avançados em Economia e Planejamento Territorial,4-0-4,Microeconomia I; Econometria I,BCE - Bacharelado em Ciências Econômicas (OL)
Tópicos Avançados em Economia Institucional,4-0-4,Economia Institucional I; Economia Institucional II,BCE - Bacharelado em Ciências Econômicas (OL)
Tópicos Avançados em História Econômica,4-0-4,Formação do Sistema Internacional; Introdução ao Pensamento Econômico; História Econômica Geral,BCE - Bacharelado em Ciências Econômicas (OL)
Tópicos Avançados em Macroeconomia,4-0-4,Introdução à Economia; Macroeconomia I; Macroeconomia II; Macroeconomia III; Macroeconomia Pós-Keynesiana,BCE - Bacharelado em Ciências Econômicas (OL)
Tópicos Avançados em Microeconomia,4-0-4,Microeconomia I; Microeconomia II,BCE - Bacharelado em Ciências Econômicas (OL)
Tópicos Avançados em Modalidades: Lógica Deôntica e Lógica Epistêmica,2-0-2,Fundamentos da lógica modal,LFIL - Licenciatura em Filosofia (OL)
Tópicos Avançados em Química Orgânica,2-0-2,Funções e Reações Orgânicas; Mecanismos de Reações Orgânicas,BQ - Bacharelado em Química (OBR);LQ - Licenciatura em Química (OL)
Tópicos Computacionais em Materiais,2-2-5,Cálculo Numérico; Materiais e suas Propriedades,EMAT - Engenharia de Materiais (OBR)
Tópicos Contemporâneos em Educação e Filosofia,4-0-4,Não há,LFIL - Licenciatura em Filosofia (OL);LCNE - Licenciatura em Ciências Naturais e Exatas (OBR);LCH - Licenciatura em Ciências e Humanidades (OBR);BC&H - Bacharelado em Ciências e Humanidades (OL)
Tópicos de Análise de Fourier,4-0-4,Sequências e Séries; Análise Real II,BM - Bacharelado em Matemática (OL)
Tópicos de Ensino de Astronomia na Educação Básica,2-2-4,Não há,LM - Licenciatura em Matemática (OL);LCNE - Licenciatura em Ciências Naturais e Exatas (OL)
Tópicos de Filosofia e Práticas de Ensino,4-0-4,Não há,LFIL - Licenciatura em Filosofia (OL)
Tópicos de História da Ciência,4-0-4,Nascimento e Desenvolvimento da Ciência Moderna,LFIL - Licenciatura em Filosofia (OL)
Tópicos de História da Ciência Moderna,4-0-4,Não há,BFIL - Bacharelado em Filosofia (OL);BC&H - Bacharelado em Ciências e Humanidades (OL)
Tópicos de Lógicas Não-Clássicas,4-0-4,Lógica Básica,LFIL - Licenciatura em Filosofia (OL)
Tópicos de Metafísica,4-0-4,Não há,BFIL - Bacharelado em Filosofia (OBR);LFIL - Licenciatura em Filosofia (OBR);BC&H - Bacharelado em Ciências e Humanidades (OL);LCH - Licenciatura em Ciências e Humanidades (OL)
Tópicos de Metafísica Medieval,4-0-4,Não há,BFIL - Bacharelado em Filosofia (OL)
Tópicos de Otimização em Sistemas Elétricos de Potência e Aplicações,0-2-4,Introdução aos Sistemas Elétricos de Potência,EENE - Engenharia de Energia (OL)
Tópicos em Física Experimental,1-3-4,Não há,BFIS - Bacharelado em Física (OL)
Tópicos em Física Teórica,4-0-4,Não há,BFIS - Bacharelado em Física (OL)
Tópicos em Teoria do Conhecimento,4-0-4,Teoria do Conhecimento: Empirismo e Racionalismo,BFIL - Bacharelado em Filosofia (OL);LFIL - Licenciatura em Filosofia (OL)
Tópicos Emergentes em Banco de Dados,4-0-4,Banco de Dados,BCC - Bacharelado em Ciências da Computação (OL)
Tópicos Especiais em Economia Financeira,4-0-4,Bases Matemáticas; Introdução à Probabilidade e à Estatística; Contabilidade Básica; Introdução à Inferência Estatística; Engenharia Econômica; Funções de Uma Variável; Funções de Várias Variáveis; Finanças Corporativas; Econometria I; Econometria II,BCE - Bacharelado em Ciências Econômicas (OL)
Tópicos Especiais em Engenharia Ambiental e Urbana,3-1-4,Não há,EAU - Engenharia Ambiental e Urbana (OL)
Tópicos Especiais em Planejamento Territorial,4-0-4,Não há,BPT - Bacharelado em Planejamento Territorial (OL)
Tópicos Experimentais em Materiais I,0-4-4,Materiais e suas Propriedades; Métodos Experimentais em Engenharia,EMAT - Engenharia de Materiais (OBR)
Tópicos Experimentais em Materiais II,0-4-4,Tópicos Experimentais em Materiais I,EMAT - Engenharia de Materiais (OL)
Topologia,4-0-4,Análise Real I,BM - Bacharelado em Matemática (OBR);LM - Licenciatura em Matemática (OL);BC&T - Bacharelado em Ciência e Tecnologia (OL)
Toxicologia,4-2-4,bioquímica: estrutura propriedades e funções de biomoléculas,BCB - Bacharelado em Ciências Biológicas (OL)
Trabalhos de Campo Coleta e Preservação de Organismos,0-4-2,Biodiversidade: Interações entre organismos e ambiente,BCB - Bacharelado em Ciências Biológicas (OL)
Trajetória da OPEP e da Agência Internacional de Energia (IEA),4-0-4,Economia política internacional da energia,EENE - Engenharia de Energia (OL);BC&T - Bacharelado em Ciência e Tecnologia (OL);BRI - Bacharelado em Relações Internacionais (OL)
Trajetória de desenvolvimento de países exportadores de petróleo,4-0-4,Economia política internacional da energia,EENE - Engenharia de Energia (OL);BC&T - Bacharelado em Ciência e Tecnologia (OL);BRI - Bacharelado em Relações Internacionais (OL)
Trajetória dos investimentos produtivos no Brasil e do Brasil,4-0-4,Estado e desenvolvimento econômico no Brasil contemporâneo,BC&T - Bacharelado em Ciência e Tecnologia (OL);BRI - Bacharelado em Relações Internacionais (OL)
Trajetórias das Políticas de CT&I no Brasil,4-0-4,Não há,BCE - Bacharelado em Ciências Econômicas (OL);BPP - Bacharelado em Políticas Públicas (OBR);BC&H - Bacharelado em Ciências e Humanidades (OL);BRI - Bacharelado em Relações Internacionais (OBR)
Trajetórias Internacionais do Continente Africano,4-0-4,Formação do Sistema Internacional,LFIS - Licenciatura em Física (OL);LM - Licenciatura em Matemática (OL);BC&H - Bacharelado em Ciências e Humanidades (OL);BRI - Bacharelado em Relações Internacionais (OBR);LCH - Licenciatura em Ciências e Humanidades (OL)
Transferência de Calor Aplicada a Sistemas Aeroespaciais,3-1-4,Funções de Várias Variáveis; Termodinâmica Aplicada I,EAER - Engenharia Aeroespacial (OBR)
Transferência de Calor e Mecânica dos Fluidos Computacional I,0-4-4,Transferência de Calor II; Mecânica dos Fluidos II,EENE - Engenharia de Energia (OL)
Transferência de Calor e Mecânica dos Fluidos Computacional II,0-4-4,Transferência de Calor e Mecânica dos Fluidos Computacional I,EENE - Engenharia de Energia (OL)
Transferência de Calor I,4-0-4,Fenômenos Térmicos; Funções de Várias Variáveis,EENE - Engenharia de Energia (OBR);BC&T - Bacharelado em Ciência e Tecnologia (OL)
Transferência de Calor II,4-0-4,Transferência de Calor I,EENE - Engenharia de Energia (OBR)
Transferência de Calor Industrial,4-0-4,Transferência de Calor II,EENE - Engenharia de Energia (OL)
Transferência de Massa,3-1-5,Fenômenos de Transporte; Termodinâmica Aplicada I,EENE - Engenharia de Energia (OL);EAU - Engenharia Ambiental e Urbana (OBR);BC&T - Bacharelado em Ciência e Tecnologia (OL)
Transformações Químicas,3-2-6,Estrutura da Matéria,BC&T - Bacharelado em Ciência e Tecnologia (OBR);LCNE - Licenciatura em Ciências Naturais e Exatas (OBR);BC&H - Bacharelado em Ciências e Humanidades (OL)
Transformadas em Sinais e Sistemas Lineares,4-0-4,Funções de Várias Variáveis,EBIO - Engenharia Biomédica (OL);EAER - Engenharia Aeroespacial (OBR);EINF - Engenharia de Informação (OBR);BC&T - Bacharelado em Ciência e Tecnologia (OL);EIAR - Engenharia de Instrumentação Automação e Robótica (OBR)
Transporte de Petróleo e Gás Natural,4-0-4,Materiais e suas Propriedades; Mecânica dos Fluidos II,EENE - Engenharia de Energia (OL)
Transportes e Meio Ambiente,0-2-4,Cartografia e Geoprocessamento; Métodos Quantitativos para Planejamento Estratégico; Métodos de Tomada de Decisão Aplicados ao Planejamento Urbano-Ambiental,EAU - Engenharia Ambiental e Urbana (OL)
Transportes e Mobilidade Urbana,2-0-4,Não há,EAU - Engenharia Ambiental e Urbana (OBR);BPP - Bacharelado em Políticas Públicas (OL);BC&T - Bacharelado em Ciência e Tecnologia (OL);BC&H - Bacharelado em Ciências e Humanidades (OL);BPT - Bacharelado em Planejamento Territorial (OL)
Transportes Uso e Ocupação do Solo,1-1-4,Cartografia e Geoprocessamento; Métodos Quantitativos para Planejamento Estratégico; Métodos de Tomada de Decisão Aplicados ao Planejamento Urbano-Ambiental,EAU - Engenharia Ambiental e Urbana (OL)
Tratamento Avançado de Águas Residuárias,2-2-4,Tratamento de Águas Urbanas Servidas; Sistemas de Tratamento de Água,EAU - Engenharia Ambiental e Urbana (OL)
Tratamento de Águas Urbanas Servidas,2-1-4,Hidráulica de Condutos Livres; Hidráulica de Condutos Forçados; Caracterização de Matrizes Ambientais; Microbiologia Ambiental,BQ - Bacharelado em Química (OL);EAU - Engenharia Ambiental e Urbana (OBR);BCB - Bacharelado em Ciências Biológicas (OL)
Turbinas Hidráulicas,0-4-4,Mecânica dos Fluidos II,EENE - Engenharia de Energia (OL)
TV Digital,3-1-4,Comunicação Digital,EINF - Engenharia de Informação (OL)
Ultrassom Aplicado à Medicina,3-1-4,Circuitos Elétricos I; Física Médica I; Instrumentação Biomédica I; Métodos Matemáticos aplicados a Sistemas Biomédicos,EBIO - Engenharia Biomédica (OL)
Unidades de Conservação da Natureza,3-1-2,Biomas Brasileiros; Conservação da Biodiversidade,EAU - Engenharia Ambiental e Urbana (OL);BCB - Bacharelado em Ciências Biológicas (OL)
Urbanização Brasileira,4-0-4,Não há,BC&T - Bacharelado em Ciência e Tecnologia (OL);BPT - Bacharelado em Planejamento Territorial (OL);LCH - Licenciatura em Ciências e Humanidades (OL)
